2023-11-21 13:37:26,731 | INFO | query: [copy into MOCK_01.mock_01_schema.SALES_TSV from @MOCK_01.mock_01_schema.MOCK_01_...]
2023-11-21 13:37:29,390 | INFO | query execution done
2023-11-21 13:37:29,390 | INFO | Number of results in first chunk: 1
2023-11-21 13:37:29,390 | INFO | making keys lower
2023-11-21 13:37:29,441 | INFO | closed
2023-11-21 13:37:29,441 | INFO | No async queries seem to be running, deleting session
2023-11-21 13:37:56,654 | INFO | hellow world
2023-11-21 13:37:56,654 | INFO | Snowflake Connector for Python Version: 3.4.1, Python Version: 3.11.2, Platform: Windows-10-10.0.22621-SP0
2023-11-21 13:37:56,654 | INFO | This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
2023-11-21 13:37:57,762 | INFO | creating a stage in snowflake
2023-11-21 13:37:57,762 | INFO | query exicution start
2023-11-21 13:37:57,762 | INFO | query: [CREATE OR REPLACE STAGE MOCK_01.mock_01_schema.MOCK_01_STAGE FILE_FORMAT = (type...]
2023-11-21 13:37:57,972 | INFO | query execution done
2023-11-21 13:37:57,972 | INFO | Number of results in first chunk: 1
2023-11-21 13:37:57,972 | INFO | making keys lower
2023-11-21 13:37:57,972 | INFO | putting data into stage
2023-11-21 13:37:57,972 | INFO | query exicution start
2023-11-21 13:37:57,972 | INFO | query: [put file://../files/SalesData.tsv @MOCK_01.mock_01_schema.MOCK_01_STAGE]
2023-11-21 13:37:59,085 | INFO | query execution done
2023-11-21 13:38:00,340 | INFO | making keys lower
2023-11-21 13:38:00,340 | INFO | creating a table in snowflake
2023-11-21 13:38:00,340 | INFO | query exicution start
2023-11-21 13:38:00,340 | INFO | query: [CREATE OR REPLACE table MOCK_01.mock_01_schema.SALES_TSV(ORDER_NO NUMBER, order_...]
2023-11-21 13:38:00,648 | INFO | query execution done
2023-11-21 13:38:00,648 | INFO | Number of results in first chunk: 1
2023-11-21 13:38:00,648 | INFO | making keys lower
2023-11-21 13:38:00,663 | INFO | copy data into table
2023-11-21 13:38:00,663 | INFO | query exicution start
2023-11-21 13:38:00,663 | INFO | query: [copy into MOCK_01.mock_01_schema.SALES_TSV from @MOCK_01.mock_01_schema.MOCK_01_...]
2023-11-21 13:38:01,234 | INFO | query execution done
2023-11-21 13:38:01,319 | INFO | closed
2023-11-21 13:38:01,325 | INFO | No async queries seem to be running, deleting session
2023-11-21 13:39:49,577 | INFO | hellow world
2023-11-21 13:39:49,577 | INFO | Snowflake Connector for Python Version: 3.4.1, Python Version: 3.11.2, Platform: Windows-10-10.0.22621-SP0
2023-11-21 13:39:49,577 | INFO | This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
2023-11-21 13:39:50,522 | INFO | creating a stage in snowflake
2023-11-21 13:39:50,522 | INFO | query exicution start
2023-11-21 13:39:50,537 | INFO | query: [CREATE OR REPLACE STAGE MOCK_01.mock_01_schema.MOCK_01_STAGE FILE_FORMAT = (type...]
2023-11-21 13:39:50,812 | INFO | query execution done
2023-11-21 13:39:50,812 | INFO | Number of results in first chunk: 1
2023-11-21 13:39:50,812 | INFO | making keys lower
2023-11-21 13:39:50,812 | INFO | putting data into stage
2023-11-21 13:39:50,812 | INFO | query exicution start
2023-11-21 13:39:50,812 | INFO | query: [put file://../files/SalesData.tsv @MOCK_01.mock_01_schema.MOCK_01_STAGE]
2023-11-21 13:39:52,139 | INFO | query execution done
2023-11-21 13:39:53,168 | INFO | making keys lower
2023-11-21 13:39:53,168 | INFO | creating a table in snowflake
2023-11-21 13:39:53,168 | INFO | query exicution start
2023-11-21 13:39:53,168 | INFO | query: [CREATE OR REPLACE table MOCK_01.mock_01_schema.SALES_TSV(ORDER_NO NUMBER, order_...]
2023-11-21 13:39:53,475 | INFO | query execution done
2023-11-21 13:39:53,475 | INFO | Number of results in first chunk: 1
2023-11-21 13:39:53,475 | INFO | making keys lower
2023-11-21 13:39:53,475 | INFO | copy data into table
2023-11-21 13:39:53,475 | INFO | query exicution start
2023-11-21 13:39:53,475 | INFO | query: [copy into MOCK_01.mock_01_schema.SALES_TSV from @MOCK_01.mock_01_schema.MOCK_01_...]
2023-11-21 13:39:53,673 | INFO | query execution done
2023-11-21 13:39:53,762 | INFO | closed
2023-11-21 13:39:53,762 | INFO | No async queries seem to be running, deleting session
2023-11-21 13:49:39,267 | INFO | hellow world
2023-11-21 13:49:39,267 | INFO | Snowflake Connector for Python Version: 3.4.1, Python Version: 3.11.2, Platform: Windows-10-10.0.22621-SP0
